"Link","Affiliations","Publisher","Abbreviated Source Title"
"https://www.scopus.com/pages/publications/86000432846?origin=resultslist","Faculty of Electrical and Computer Engineering, University of Tabriz, Tabriz, Iran","International Society of Automation","ISA Trans"
"https://www.scopus.com/pages/publications/105005109790?origin=resultslist","Department of Computer Engineering, Isfahan (Khorasgan) Branch, Islamic Azad University, Isfahan, 81595, Iran","Qubahan","Qubahan. Acad. J."
"https://www.scopus.com/pages/publications/105048512231?origin=resultslist","Massachusetts Institute of Technology, Cambridge, MA, United States","Neural information processing systems foundation","Adv. neural inf. proces. syst."
"https://www.scopus.com/pages/publications/85215437306?origin=resultslist","Department of Electrical and Electronic Engineering, College of Engineering and Computer Science, Jazan University, P.O. Box114, Jazan, 45142, Saudi Arabia; Department of Electrical Engineering, Faculty of Engineering, Suez University, P.O. Box, Suez, 43221, Egypt","Elsevier B.V.","Sci.  African"
"https://www.scopus.com/pages/publications/85208106056?origin=resultslist","Department of Electrical and Electronic Engineering, The University of Hong Kong, 999077, Hong Kong; The University of Hong Kong Shenzhen Institute of Research and Innovation, Guangdong, Shenzhen, 518057, China; Mechanical Engineering and Automation, Harbin Institute of Technology, Guangdong, Shenzhen, 518055, China; Research Centre for Electric Vehicles and Department of Electrical and Electronic Engineering, The Hong Kong Polytechnic University, 999077, Hong Kong; School of Energy Science and Engineering, Nanjing Tech University, Jiangsu, Nanjing, 211816, China","Elsevier Ltd","Appl. Energy"
"https://www.scopus.com/pages/publications/105027434201?origin=resultslist","Department of Electronic and Electrical Engineering, University of Bath, Bath, United Kingdom","Institution of Engineering and Technology","IET. Conf. Proc."
"https://www.scopus.com/pages/publications/105003088464?origin=resultslist","National Institute of Technology Karnataka, Department of Information Technology, Surathkal, Mangalore, 575025, India","Institute of Electrical and Electronics Engineers Inc.","IEEE Access"
"https://www.scopus.com/pages/publications/85214030473?origin=resultslist","School of Civil Engineering, Central South University, Hunan Province, Changsha, 410075, China; Key Laboratory of Heavy-Haul Railway Engineering Structure, Ministry of Education, Hunan Province, Changsha, 410075, China; Hunan Provincial Key Laboratory for Disaster Prevention and Mitigation of Rail Transit Engineering Structures, Hunan Province, Changsha, 410075, China","Elsevier Ltd","Int. Commun. Heat Mass Transf."
"https://www.scopus.com/pages/publications/105030411875?origin=resultslist","Department of EEE, Sri Krishna College of Engineering and Technology, Coimbatore, India; Department of EEE, Sri Krishna College of Technology, Tamil Nadu, Coimbatore, India; Department of EEE, Bannari Amman Institute of Technology, Tamil Nadu, Erode, India","wiley","Artificial Intelligence for Next-Generation Energy Management"
"https://www.scopus.com/pages/publications/85121848641?origin=resultslist","Department of Electrical and Electronics Engineering, National Engineering College, Kovilpatti, India; Department of Electrical and Electronics Engineering, P.S.R. Engineering College, Tamilnadu, Sivakasi, India; Department of Electrical and Electronics Engineering, National Engineering College, Kovilpatti, India; Department of Electrical and Electronics Engineering, Jyothi Engineering College, Thrissur, India; Department of Electronics and Communication Engineering, Surya Engineering College Mettukadai, Tamilnadu, India","Taylor and Francis Ltd.","Energy Sources Recovery Util. Environ. Eff."
"https://www.scopus.com/pages/publications/85218838384?origin=resultslist","School of Electrical Engineering, Vellore Institute of Technology, Chennai, Tamil Nadu, India","wiley","IoT for Smart Grid: Revolutionizing Elect. Eng."
"https://www.scopus.com/pages/publications/85211715455?origin=resultslist","Department of Electrical Engineering, University of Gujrat, Hafiz Hayat Campus, Gujrat, Pakistan; Department of Electrical Engineering, University of Management and Technology Lahore, Sialkot Campus, Sialkot, Pakistan","Elsevier Ltd","Clean. Eng. Technol."
"https://www.scopus.com/pages/publications/105004884335?origin=resultslist","Scion, New Zealand Forest Research Institute, Rotorua, 3046, New Zealand; Department of Economics, Arak University, Arak, 3848177584, Iran","Multidisciplinary Digital Publishing Institute (MDPI)","Sustainability"
"https://www.scopus.com/pages/publications/105023161271?origin=resultslist","Polytechnic of Porto (ISEP/IPP, Porto, Portugal","Springer","Process. Integr. Optim. Sustain."
"https://www.scopus.com/pages/publications/105003582207?origin=resultslist","College of Physical Sciences and Engineering, Cardiff University, Cardiff, CF24 3AA, United Kingdom; City University of London, School of Science and Technology, 280 St John Street, London, EC1 V 4PB, United Kingdom","American Chemical Society","Energy Fuels"
